date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-05-08,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,527353,megawatthours
2025-05-08,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,530227,megawatthours
2025-05-08,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-58174,megawatthours
2025-05-08,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-61121,megawatthours
2025-05-08,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-62498,megawatthours
2025-05-08,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-59609,megawatthours
2025-05-08,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-58174,megawatthours
2025-05-09,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,641675,megawatthours
2025-05-09,CISO,California Independent System Operator,D,Demand,Central,Central,637583,megawatthours
2025-05-09,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,635071,megawatthours
2025-05-09,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,639720,megawatthours
2025-05-09,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,641675,megawatthours
2025-05-09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,602668,megawatthours
2025-05-09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,598804,megawatthours
2025-05-09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,596641,megawatthours
2025-05-09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,600758,megawatthours
2025-05-09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,602668,megawatthours
2025-05-09,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,580504,megawatthours
2025-05-09,CISO,California Independent System Operator,NG,Net generation,Central,Central,578555,megawatthours
2025-05-09,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,577202,megawatthours
2025-05-09,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,579461,megawatthours
2025-05-09,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,580504,megawatthours
2025-05-09,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-63541,megawatthours
2025-05-09,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-61921,megawatthours
2025-05-09,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-60446,megawatthours
2025-05-09,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-62938,megawatthours
2025-05-09,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-63541,megawatthours
2025-05-10,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,633201,megawatthours
2025-05-10,CISO,California Independent System Operator,D,Demand,Central,Central,633606,megawatthours
2025-05-10,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,633502,megawatthours
2025-05-10,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,633598,megawatthours
2025-05-10,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,633201,megawatthours
2025-05-10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,594258,megawatthours
2025-05-10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,594583,megawatthours
2025-05-10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,594746,megawatthours
2025-05-10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,594379,megawatthours
2025-05-10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,594258,megawatthours
